home_team;group;home_team_continent;away_team_continent;home_team_fifa_rank;away_team_fifa_rank;home_team_goalkeeper_score;home_team_mean_defense_score;home_team_mean_offense_score;home_team_mean_midfield_score;away_team;away_team_goalkeeper_score;away_team_mean_defense_score;away_team_mean_offense_score;away_team_mean_midfield_score
Argentina;C;South America;South America;3;3;84;82.5;82.5;84.3333333333;Argentina;84;82.5;82.5;84.3333333333
Australia;D;Oceania;Oceania;38;38;78;72;73.5;72.3333333333;Australia;78;72;73.5;72.3333333333
Belgium;F;Europe;Europe;2;2;90;79.75;85;84.6666666667;Belgium;90;79.75;85;84.6666666667
Brazil;G;South America;South America;1;1;89;85.25;85.5;86.3333333333;Brazil;89;85.25;85.5;86.3333333333
Cameroon;G;Africa;Africa;43;43;82;76.75;76.75;75;Cameroon;82;76.75;76.75;75
Canada;F;North America;North America;41;41;77;74;73.5;75;Canada;77;74;73.5;75
Costa Rica;E;North America;North America;31;31;88;72.25;66.75;69;Costa Rica;88;72.25;66.75;69
Croatia;F;Europe;Europe;12;12;80;79;85.5;80.3333333333;Croatia;80;79;85.5;80.3333333333
Denmark;D;Europe;Europe;10;10;83;79.75;81.25;76.6666666667;Denmark;83;79.75;81.25;76.6666666667
Ecuador;A;South America;South America;44;44;72;74.25;75.25;72.3333333333;Ecuador;72;74.25;75.25;72.3333333333
England;B;Europe;Europe;5;5;82;85;83;86.6666666667;England;82;85;83;86.6666666667
France;D;Europe;Europe;4;4;87;84.25;84.5;87;France;87;84.25;84.5;87
Germany;E;Europe;Europe;11;11;86;84.5;86.5;81.3333333333;Germany;86;84.5;86.5;81.3333333333
Ghana;H;Africa;Africa;61;61;74;77;77.75;75.3333333333;Ghana;74;77;77.75;75.3333333333
IR Iran;B;Asia;Asia;20;20;73;70.5;68.3333333333;77.6666666667;IR Iran;73;70.5;68.3333333333;77.6666666667
Japan;E;Asia;Asia;24;24;72;75.5;77.75;76;Japan;72;75.5;77.75;76
Korea Republic;H;Asia;Asia;28;28;73;75;74;75;Korea Republic;73;75;74;75
Mexico;C;North America;North America;13;13;80;76;78.25;81.6666666667;Mexico;80;76;78.25;81.6666666667
Morocco;F;Africa;Africa;22;22;84;78.75;75.25;80.6666666667;Morocco;84;78.75;75.25;80.6666666667
Netherlands;A;Europe;Europe;8;8;80;85.25;82.75;82.6666666667;Netherlands;80;85.25;82.75;82.6666666667
Poland;C;Europe;Europe;26;26;86;76.5;78;81.6666666667;Poland;86;76.5;78;81.6666666667
Portugal;H;Europe;Europe;9;9;82;85.25;83;86.3333333333;Portugal;82;85.25;83;86.3333333333
Qatar;A;Asia;Asia;50;50;68;69.5;68.5;73.3333333333;Qatar;68;69.5;68.5;73.3333333333
Saudi Arabia;C;Asia;Asia;51;51;70;71.5;70.75;71.3333333333;Saudi Arabia;70;71.5;70.75;71.3333333333
Senegal;A;Africa;Africa;18;18;86;78.25;81;77.3333333333;Senegal;86;78.25;81;77.3333333333
Serbia;G;Europe;Europe;21;21;80;75.5;82.25;82.3333333333;Serbia;80;75.5;82.25;82.3333333333
Spain;E;Europe;Europe;7;7;87;84;86;84.6666666667;Spain;87;84;86;84.6666666667
Switzerland;G;Europe;Europe;15;15;85;78;80;76;Switzerland;85;78;80;76
Tunisia;D;Africa;Africa;30;30;60;70.25;75.25;70.6666666667;Tunisia;60;70.25;75.25;70.6666666667
United States;B;North America;North America;16;16;77;75.25;77;77;United States;77;75.25;77;77
Uruguay;H;South America;South America;14;14;79;81.5;81;81.3333333333;Uruguay;79;81.5;81;81.3333333333
Wales;B;Europe;Europe;19;19;75;74.75;76.75;77.3333333333;Wales;75;74.75;76.75;77.3333333333